"role_id","menu_id"
2,1
2,2
2,3
2,100
2,101
2,102
2,103
2,104
2,105
2,106
2,107
2,108
2,109
2,110
2,111
2,112
2,113
2,114
2,115
2,116
2,117
2,500
2,501
2,1000
2,1001
2,1002
2,1003
2,1004
2,1005
2,1006
2,1007
2,1008
2,1009
2,1010
2,1011
2,1012
2,1013
2,1014
2,1015
2,1016
2,1017
2,1018
2,1019
2,1020
2,1021
2,1022
2,1023
2,1024
2,1025
2,1026
2,1027
2,1028
2,1029
2,1030
2,1031
2,1032
2,1033
2,1034
2,1035
2,1036
2,1037
2,1038
2,1039
2,1040
2,1041
2,1042
2,1043
2,1044
2,1045
2,1046
2,1047
2,1048
2,1049
2,1050
2,1051
2,1052
2,1053
2,1054
2,1055
2,1056
2,1057
2,1058
2,1059
2,1060
2,2000
2,2007
2,2008
2,2009
2,2010
2,2011
2,2012
2,2013
2,2014
2,2015
2,2016
2,2017
2,2018
2,2019
2,2020
2,2021
2,2022
2,2023
2,2024
2,2025
2,2026
2,2027
2,2028
2,2029
2,2030
2,2031
2,2032
2,2033
2,2034
2,2035
2,2036
2,2037
2,2038
2,2039
2,2040
2,2041
2,2042
2,2043
2,2044
2,2045
2,2046
2,2047
2,2048
2,2049
2,2050
2,2051
2,2052
2,2053
2,2054
2,2055
2,2056
2,2057
2,2058
2,2059
2,2060
2,2061
2,2062
2,2063
2,2064
2,2065
2,2066
2,2067
2,2068
2,2069
2,2070
2,2071
2,2072
2,2073
2,2074
2,2075
2,2076
2,2077
2,2078
2,2079
2,2080
2,2081
2,2082
2,2083
2,2084
2,2085
2,2086
2,2087
2,2088
2,2089
2,2091
2,2095
2,2096
2,2097
2,2098
102,2000
102,2043
102,2044
102,2045
102,2046
102,2047
102,2048
102,2082
102,2095
102,2096
102,2097
104,2082
105,1
105,103
105,104
105,1016
105,1020
105,2000
105,2007
105,2008
105,2013
105,2014
105,2015
105,2019
105,2020
105,2025
105,2026
105,2031
105,2032
105,2037
105,2038
105,2043
105,2044
105,2045
105,2046
105,2047
105,2048
105,2049
105,2050
105,2051
105,2052
105,2053
105,2054
105,2055
105,2056
105,2057
105,2058
105,2059
105,2060
105,2079
105,2080
105,2081
105,2084
105,2085
105,2086
105,2087
105,2088
105,2091
105,2095
105,2096
105,2097
105,2099
105,2100
105,2101
105,2102
105,2104
106,1
106,100
106,101
106,102
106,105
106,106
106,1000
106,1001
106,1002
106,1003
106,1005
106,1006
106,1007
106,1012
106,1025
106,1030
107,2081
107,2082
107,2084
107,2085
107,2086
107,2087
107,2088
